"playerID","yearID","stint","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"aaronha01","1954","1","ML1","NL","122","468","58","131","27","6","13","69","2","2","28","39","","3","6","4","13"
"aaronha01","1955","1","ML1","NL","153","602","105","189","37","9","27","106","3","1","49","61","5","3","7","4","20"
"aaronha01","1956","1","ML1","NL","153","609","106","200","34","14","26","92","2","4","37","54","6","2","5","7","21"
"aaronha01","1957","1","ML1","NL","151","615","118","198","27","6","44","132","1","1","57","58","15","0","0","3","13"
"aaronha01","1958","1","ML1","NL","153","601","109","196","34","4","30","95","4","1","59","49","16","1","0","3","21"
"aaronha01","1959","1","ML1","NL","154","629","116","223","46","7","39","123","8","0","51","54","17","4","0","9","19"
"aaronha01","1960","1","ML1","NL","153","590","102","172","20","11","40","126","16","7","60","63","13","2","0","12","8"
"aaronha01","1961","1","ML1","NL","155","603","115","197","39","10","34","120","21","9","56","64","20","2","1","9","16"
"aaronha01","1962","1","ML1","NL","156","592","127","191","28","6","45","128","15","7","66","73","14","3","0","6","14"
"aaronha01","1963","1","ML1","NL","161","631","121","201","29","4","44","130","31","5","78","94","18","0","0","5","11"
"aaronha01","1964","1","ML1","NL","145","570","103","187","30","2","24","95","22","4","62","46","9","0","0","2","22"
"aaronha01","1965","1","ML1","NL","150","570","109","181","40","1","32","89","24","4","60","81","10","1","0","8","15"
"aaronha01","1966","1","ATL","NL","158","603","117","168","23","1","44","127","21","3","76","96","15","1","0","8","14"
"aaronha01","1967","1","ATL","NL","155","600","113","184","37","3","39","109","17","6","63","97","19","0","0","6","11"
"aaronha01","1968","1","ATL","NL","160","606","84","174","33","4","29","86","28","5","64","62","23","1","0","5","21"
"aaronha01","1969","1","ATL","NL","147","547","100","164","30","3","44","97","9","10","87","47","19","2","0","3","14"
"aaronha01","1970","1","ATL","NL","150","516","103","154","26","1","38","118","9","0","74","63","15","2","0","6","13"
"aaronha01","1971","1","ATL","NL","139","495","95","162","22","3","47","118","1","1","71","58","21","2","0","5","9"
"aaronha01","1972","1","ATL","NL","129","449","75","119","10","0","34","77","4","0","92","55","15","1","0","2","17"
"aaronha01","1973","1","ATL","NL","120","392","84","118","12","1","40","96","1","1","68","51","13","1","0","4","7"
"aaronha01","1974","1","ATL","NL","112","340","47","91","16","0","20","69","1","0","39","29","6","0","1","2","6"
"aaronha01","1975","1","ML4","AL","137","465","45","109","16","2","12","60","0","1","70","51","3","1","1","6","15"
"aaronha01","1976","1","ML4","AL","85","271","22","62","8","0","10","35","0","1","35","38","1","0","0","2","8"
